FY,state,measure_name,avg_err,hospitals_reporting,total_rows,delta_prev
2025,NJ,READM-30-COPD-HRRP,1.0261816326530613,49,49,0.0010681711145996697
2025,NM,READM-30-COPD-HRRP,0.9971714285714286,7,7,0.009804761904761983
2025,NV,READM-30-COPD-HRRP,1.0159266666666666,15,15,-0.005655686274509852
2025,NY,READM-30-COPD-HRRP,1.0302516853932584,89,89,0.0003469795109054541
2025,OH,READM-30-COPD-HRRP,1.0077054054054053,74,74,0.008482738738738727
2025,OK,READM-30-COPD-HRRP,1.023,23,23,0.015333333333333199
2025,OR,READM-30-COPD-HRRP,0.97735,8,8,-0.024162499999999976
2025,PA,READM-30-COPD-HRRP,1.0230430555555554,72,72,0.0016150555555554114
2025,RI,READM-30-COPD-HRRP,1.0716,5,5,0.012020000000000142
2025,SC,READM-30-COPD-HRRP,1.0005076923076923,26,26,-9.230769230761382e-05
2025,SD,READM-30-COPD-HRRP,0.9591666666666666,3,3,0.00653333333333328
2025,TN,READM-30-COPD-HRRP,1.0152894736842106,38,38,-0.0011916073968705199
2025,TX,READM-30-COPD-HRRP,1.0114676767676767,99,99,0.0097564522778808
2025,UT,READM-30-COPD-HRRP,0.95035,2,2,0.007950000000000013
2025,VA,READM-30-COPD-HRRP,0.9954489361702127,47,47,0.0009534816247580569
2025,VT,READM-30-COPD-HRRP,1.006625,4,4,0.017725000000000102
2025,WA,READM-30-COPD-HRRP,1.025090909090909,22,22,0.005282575757575625
2025,WI,READM-30-COPD-HRRP,0.982370588235294,17,17,0.002108088235293959
2025,WV,READM-30-COPD-HRRP,1.0228375,16,16,-0.0007187499999998792
2025,WY,READM-30-COPD-HRRP,0.9173,2,2,0.020100000000000007
2025,AK,READM-30-HF-HRRP,1.0136666666666667,6,6,0.024806666666666644
2025,AL,READM-30-HF-HRRP,1.010536956521739,46,46,0.007341607684529627
2025,AR,READM-30-HF-HRRP,1.0129857142857144,28,28,0.004305069124423966
2025,AZ,READM-30-HF-HRRP,0.9992217391304348,46,46,0.008939239130434817
2025,CA,READM-30-HF-HRRP,1.0215271844660194,206,206,-0.0009431125636834015
2025,CO,READM-30-HF-HRRP,0.9574323529411766,34,34,0.01029172794117661
2025,CT,READM-30-HF-HRRP,1.0222208333333334,24,24,0.0013608333333334777
2025,DC,READM-30-HF-HRRP,1.006,6,6,-0.03421666666666656
2025,DE,READM-30-HF-HRRP,0.9612166666666667,6,6,0.006450000000000067
2025,FL,READM-30-HF-HRRP,1.027025165562914,151,151,0.0018751655629138941
2025,GA,READM-30-HF-HRRP,1.0110216216216217,74,74,0.00013733590733600032
